esp_id;ini;int;ava;massa;grau_frug
abujac;0;0;0.0096385542;1240.96;70
attruf;0.0023474178;0;0.0096385542;42.6;20
cachae;0.0070422535;0.0210526316;0;83.71;20
carcuc;0.0023474178;0;0.0048192771;74.19;80
carmel;0.0070422535;0.0421052632;0.0361445783;64.19;90
celfla;0.0046948357;0.0026315789;0.0072289157;139;30
chicau;0.0985915493;0.0710526316;0.0506024096;25.6;50
chlspi;0.0023474178;0.0026315789;0.0024096386;19;60
chlcya;0.0023474178;0;0.0096385542;14;90
cnefus;0.0234741784;0.0105263158;0;13.6;10
coefla;0.0399061033;0.0368421053;0;10.01;10
cyacae;0.0234741784;0.0026315789;0;272;30
daccay;0.0023474178;0;0.0024096386;13;40
elaobs;0;0.0026315789;0;23.9;50
ela ;0.0070422535;0;0.0048192771;21;45
euppec;0.0164319249;0.0368421053;0.0698795181;14.4;70
eupvio;0.0046948357;0.0026315789;0;15;100
habrub;0.0539906103;0.0710526316;0.0265060241;32.46;20
hemgui;0.0023474178;0;0;12;10
hemruf;0.0070422535;0.0236842105;0.0192771084;11;20
ilimil;0.0211267606;0.0710526316;0;12.7;50
lancri;0.0093896714;0;0.0096385542;18.8;50
lanmel;0.0211267606;0.0394736842;0.0337349398;22.58;20
lateul;0.0164319249;0.0157894737;0;11.33;10
legleu;0.0070422535;0.0026315789;0;22.2;70
liplan;0;0.0052631579;0.0192771084;94.8;80
manman;0.0070422535;0;0.0024096386;16.7;90
megpit;0.0023474178;0;0;69.91;10
mioruf;0.0023474178;0.0131578947;0;13.3;50
myimac;0.0352112676;0.0157894737;0.0048192771;43.2;30
orcabe;0;0;0.0072289157;31.5;10
ortchl;0.0117370892;0.0263157895;0.0626506024;40;40
oxycri;0.0023474178;0.0078947368;0.0072289157;42;80
paccas;0.0023474178;0;0;19.5;10
pacpol;0.0164319249;0.0026315789;0;20.8;50
pacvir;0.0023474178;0;0;21;10
patcay;0.0070422535;0.0052631579;0;229;70
patpic;0.0070422535;0;0;279;30
patplu;0.0046948357;0;0;178.77;50
penobs;0;0;0.0024096386;1770;80
pensup;0;0.0078947368;0.0024096386;894.99;90
phyous;0.0328638498;0.0184210526;0;10;10
pipmel;0.0046948357;0;0;21;50
pitsul;0.0046948357;0;0;62.85;30
prcnud;0.0070422535;0.0052631579;0.0048192771;172.04;100
pyrscu;0.0093896714;0.0052631579;0;357;60
ramdic;0.0093896714;0;0.0024096386;331;80
ramvit;0.0117370892;0.0105263158;0.0096385542;360.36;60
salful;0.0023474178;0.0052631579;0;50.5;30
schvir;0.0305164319;0.0342105263;0.0144578313;25.6;50
selmac;0;0.0105263158;0.021686747;164;80
sirsib;0.0070422535;0.0026315789;0;32.3;20
taccor;0.0093896714;0;0.0024096386;29.3;20
tancya;0.0305164319;0.0289473684;0.0626506024;18;100
tancyno;0.0093896714;0.0052631579;0.0192771084;43.3;100
tanorn;0;0.0026315789;0.0072289157;33;80
tanpal;0.0046948357;0.0026315789;0;39;60
tansay;0.0070422535;0;0;32.49;50
tansel;0.0539906103;0.0368421053;0.086746988;18.7;80
tervir;0.0046948357;0.0052631579;0;29;70
titcay;0;0.0105263158;0.0024096386;68.1;80
titinq;0.0070422535;0;0;43.1;80
troruf;0.0023474178;0.0052631579;0.0072289157;53.8;40
trovir;0.0305164319;0.0368421053;0.0481927711;89.69;60
turalb;0.1408450704;0.1394736842;0.1421686747;54;40
tudfla;0.044600939;0.0605263158;0.0361445783;65.14;80
turruv;0.0023474178;0.0026315789;0.0096385542;69.44;50
viroli;0.0492957746;0.0210526316;0;16.06;20
